iter, 602, gw, 37, gd, 1388
iter, 603, gw, 49, gd, 1355
iter, 604, gw, 25, gd, 1334
iter, 605, gw, 39, gd, 1345
iter, 606, gw, 31, gd, 1368
iter, 607, gw, 34, gd, 1422
iter, 608, gw, 62, gd, 1377
iter, 609, gw, 25, gd, 1352
iter, 610, gw, 27, gd, 1342
iter, 611, gw, 24, gd, 1332
iter, 612, gw, 31, gd, 1361
iter, 613, gw, 28, gd, 1337
iter, 614, gw, 72, gd, 1393
iter, 615, gw, 27, gd, 1355
iter, 616, gw, 21, gd, 1346
iter, 617, gw, 23, gd, 1379
iter, 618, gw, 59, gd, 1361
iter, 619, gw, 24, gd, 1359
iter, 620, gw, 21, gd, 1372
iter, 621, gw, 35, gd, 1354
iter, 622, gw, 26, gd, 1369
iter, 623, gw, 25, gd, 1361
iter, 624, gw, 26, gd, 1338
iter, 625, gw, 24, gd, 1365
iter, 626, gw, 21, gd, 1329
iter, 627, gw, 24, gd, 1370
iter, 628, gw, 25, gd, 1373
iter, 629, gw, 28, gd, 1368
iter, 630, gw, 31, gd, 1375
iter, 631, gw, 27, gd, 1347
iter, 632, gw, 25, gd, 1338
iter, 633, gw, 26, gd, 1363
iter, 634, gw, 22, gd, 1357
iter, 635, gw, 24, gd, 1351
iter, 636, gw, 27, gd, 1339
iter, 637, gw, 23, gd, 1372
iter, 638, gw, 28, gd, 1325
iter, 639, gw, 22, gd, 1350
iter, 640, gw, 41, gd, 1370
iter, 641, gw, 28, gd, 1369
iter, 642, gw, 27, gd, 1358
iter, 643, gw, 27, gd, 1316
iter, 644, gw, 26, gd, 1357
iter, 645, gw, 31, gd, 1326
iter, 646, gw, 24, gd, 1347
iter, 647, gw, 23, gd, 1369
iter, 648, gw, 41, gd, 1331
iter, 649, gw, 23, gd, 1368
iter, 650, gw, 27, gd, 1337
iter, 651, gw, 24, gd, 1407
iter, 652, gw, 23, gd, 1350
iter, 653, gw, 24, gd, 1324
iter, 654, gw, 29, gd, 1351
iter, 655, gw, 24, gd, 1353
iter, 656, gw, 23, gd, 1349
iter, 657, gw, 23, gd, 1378
iter, 658, gw, 23, gd, 1346
iter, 659, gw, 26, gd, 1356
iter, 660, gw, 27, gd, 1348
iter, 661, gw, 21, gd, 1326
iter, 662, gw, 28, gd, 1333
iter, 663, gw, 24, gd, 1371
iter, 664, gw, 21, gd, 1324
iter, 665, gw, 23, gd, 1322
